id	name	md5sum
/10.1007/978-3-030-44766-3	_10.1007_978-3-030-44766-3_Textbook_on_Scar_Management_State_of_the_Art_Management_and_Emerging_Technologies_Editors_and_affiliations_10.1007_978-3-030-44766-3.pdf	3ea9c62a0e04104db3317e67db85ef15
/10.1007/978-3-030-44766-3	_10.1007_978-3-030-44766-3_Textbook_on_Scar_Management_State_of_the_Art_Management_and_Emerging_Technologies_Editors_and_affiliations_10.1007_978-3-030-44766-3.epub	d59ee3f9dca6c792002c86c18ff635eb
/10.1007/978-3-319-50026-3	_10.1007_978-3-319-50026-3_The_European_Blood_and_Marrow_Transplantation_Textbook_for_Nurses_Under_the_Auspices_of_EBMT_Editors_and_affiliations_10.1007_978-3-319-50026-3.pdf	fb93c6bcfd9cdb226cb9340bf41dca13
/10.1007/978-3-319-50026-3	_10.1007_978-3-319-50026-3_The_European_Blood_and_Marrow_Transplantation_Textbook_for_Nurses_Under_the_Auspices_of_EBMT_Editors_and_affiliations_10.1007_978-3-319-50026-3.epub	2ede90458da56134617e50e8fcf0306c
/10.1007/978-3-030-59403-9	_10.1007_978-3-030-59403-9_Textbook_of_Patient_Safety_and_Clinical_Risk_Management_Editors_and_affiliations_10.1007_978-3-030-59403-9.pdf	c7240405c35142fca7254080eaff7365
/10.1007/978-3-030-59403-9	_10.1007_978-3-030-59403-9_Textbook_of_Patient_Safety_and_Clinical_Risk_Management_Editors_and_affiliations_10.1007_978-3-030-59403-9.epub	40c337e74aa3abd96dfcf714520cf7f4
/10.1007/978-3-319-16408-3	_10.1007_978-3-319-16408-3_A_Textbook_on_Ordinary_Differential_Equations_10.1007_978-3-319-16408-3.pdf	43a10302f37e797fe3fd7bde6a065520
/10.1007/978-3-319-63588-0	_10.1007_978-3-319-63588-0_Logical_Foundations_of_Cyber-Physical_Systems_10.1007_978-3-319-63588-0.pdf	14c885739517a330a9f278c37b2cae0e
/10.1007/978-3-030-78495-9	_10.1007_978-3-030-78495-9_Masterclass_Enterprise_Architecture_Management_10.1007_978-3-030-78495-9.pdf	1f66d6b3f4a7212324c4891e5ecb56d7
/10.1007/978-3-030-78495-9	_10.1007_978-3-030-78495-9_Masterclass_Enterprise_Architecture_Management_10.1007_978-3-030-78495-9.epub	dec5e2fd51f47b3ecb7d25fd2e0be3e5
/10.1007/978-3-030-58721-5	_10.1007_978-3-030-58721-5_Biomedical_Informatics_Computer_Applications_in_Health_Care_and_Biomedicine_Editors_and_affiliations_10.1007_978-3-030-58721-5.pdf	374aad1caa30ce8ea2efbdbb533cfe66
/10.1007/978-3-030-58721-5	_10.1007_978-3-030-58721-5_Biomedical_Informatics_Computer_Applications_in_Health_Care_and_Biomedicine_Editors_and_affiliations_10.1007_978-3-030-58721-5.epub	c3ab47ee0556801ef379d79d11d5bf7d
/10.1007/978-3-658-25357-8	_10.1007_978-3-658-25357-8_Enterprise_Risk_Management_Modern_Approaches_to_Balancing_Risk_and_Reward_10.1007_978-3-658-25357-8.pdf	49393095b7fdf3c631efba5432320d1f
/10.1007/978-3-658-25357-8	_10.1007_978-3-658-25357-8_Enterprise_Risk_Management_Modern_Approaches_to_Balancing_Risk_and_Reward_10.1007_978-3-658-25357-8.epub	ef9d6045b86efe8878d179a80ae35caa
/10.1007/978-3-030-63168-0	_10.1007_978-3-030-63168-0_An_Introduction_to_Complex_Systems_Society__Ecology__and_Nonlinear_Dynamics_10.1007_978-3-030-63168-0.pdf	a66ddff13369c4e4850fd9e46c597d38
/10.1007/978-3-030-63168-0	_10.1007_978-3-030-63168-0_An_Introduction_to_Complex_Systems_Society__Ecology__and_Nonlinear_Dynamics_10.1007_978-3-030-63168-0.epub	6d36c1e81b50e36b7f71481927e0c27e
/10.1007/978-3-658-34357-6	_10.1007_978-3-658-34357-6_Research_Design_in_Business_and_Management_A_Practical_Guide_for_Students_and_Researchers_10.1007_978-3-658-34357-6.pdf	9229cbcb7983c5566fa1ff1fae18ae1b
/10.1007/978-3-658-34357-6	_10.1007_978-3-658-34357-6_Research_Design_in_Business_and_Management_A_Practical_Guide_for_Students_and_Researchers_10.1007_978-3-658-34357-6.epub	cf2812c615aa0a19e29514be9c81b840
/10.1007/978-3-319-72347-1	_10.1007_978-3-319-72347-1_Data_Science_and_Predictive_Analytics_Biomedical_and_Health_Applications_using_R_10.1007_978-3-319-72347-1.pdf	b6d7c79aaf1570d9962d7a4ede407427
/10.1007/978-3-319-72347-1	_10.1007_978-3-319-72347-1_Data_Science_and_Predictive_Analytics_Biomedical_and_Health_Applications_using_R_10.1007_978-3-319-72347-1.epub	ad013a318819a7aa2bd3a7474c9640d8
/10.1007/978-3-319-45776-5	_10.1007_978-3-319-45776-5_Food_Analysis_Editors_and_affiliations_10.1007_978-3-319-45776-5.pdf	85cb771d70c5c0669be43217cf3db351
/10.1007/978-3-319-45776-5	_10.1007_978-3-319-45776-5_Food_Analysis_Editors_and_affiliations_10.1007_978-3-319-45776-5.epub	aae0634f5d811c9665587e53e86ac156
/10.1007/978-3-319-54398-7	_10.1007_978-3-319-54398-7_Mass_Spectrometry_A_Textbook_10.1007_978-3-319-54398-7.pdf	cb3de81ad79e768d2db3de52454960db
/10.1007/978-3-319-54398-7	_10.1007_978-3-319-54398-7_Mass_Spectrometry_A_Textbook_10.1007_978-3-319-54398-7.epub	9874d14bb06b65fe9498be12b575b1e5
/10.1007/978-3-030-73116-8	_10.1007_978-3-030-73116-8_Particle_and_Astroparticle_Physics_Problems_and_Solutions_10.1007_978-3-030-73116-8.pdf	ee92a5c632ca9a622852275e15c58cc8
